date,code,open,high,low,close,preclose,volume,amount
2020-01-02,sh.000905,5306.6670,5374.9080,5288.1670,5366.1370,5267.6620,14589440512,136813752320.0000
2020-01-03,sh.000905,5376.0320,5395.2580,5351.8040,5380.6370,5366.1370,12845202176,122199724032.0000
2020-01-06,sh.000905,5365.2170,5481.5500,5355.0230,5434.8500,5380.6370,15958741504,158190936064.0000
2020-01-07,sh.000905,5441.9030,5499.8390,5440.6910,5499.8390,5434.8500,14414272256,142194163712.0000
2020-01-08,sh.000905,5481.9840,5500.1600,5409.5690,5423.7960,5499.8390,15540684800,149838069760.0000
2020-01-09,sh.000905,5465.8570,5497.5420,5457.3490,5497.5420,5423.7960,13243166720,135961014272.0000
2020-01-10,sh.000905,5511.6730,5516.0940,5455.2510,5480.2270,5497.5420,11381982208,118196969472.0000
2020-01-13,sh.000905,5478.3150,5559.6270,5447.7310,5559.6270,5480.2270,11807618048,128651948032.0000
2020-01-14,sh.000905,5576.6290,5583.7200,5539.8990,5542.3310,5559.6270,12981138432,134845329408.0000
2020-01-15,sh.000905,5532.9610,5545.1010,5492.6500,5530.0260,5542.3310,11242501888,118142836736.0000
2020-01-16,sh.000905,5539.4210,5559.0170,5514.6910,5527.6670,5530.0260,11189727488,122337955840.0000
2020-01-17,sh.000905,5539.7230,5555.4110,5499.4670,5510.0450,5527.6670,10494932992,110491856896.0000
2020-01-20,sh.000905,5523.0090,5587.5350,5500.5930,5587.5350,5510.0450,11540300032,128212119552.0000
2020-01-21,sh.000905,5581.0100,5581.9800,5515.1920,5523.9410,5587.5350,12460480768,135220985856.0000
2020-01-22,sh.000905,5502.5870,5597.9930,5440.1990,5575.5120,5523.9410,12347476992,138250256384.0000
2020-01-23,sh.000905,5521.7920,5558.4250,5326.9310,5377.7410,5575.5120,14577307136,161861918720.0000
2020-02-03,sh.000905,4896.8940,4960.7450,4896.8940,4910.9010,5377.7410,8177708288,89455038464.0000
2020-02-04,sh.000905,4736.1220,5013.7690,4736.1220,4996.4740,4910.9010,18967227904,175374995456.0000
2020-02-05,sh.000905,5035.4080,5178.4370,5026.4080,5123.9610,4996.4740,17109533952,177352351744.0000
2020-02-06,sh.000905,5128.1860,5299.1780,5100.4810,5282.8920,5123.9610,18595745536,197274054656.0000
2020-02-07,sh.000905,5287.2690,5329.3550,5226.6990,5327.0360,5282.8920,19114764288,203495542784.0000
2020-02-10,sh.000905,5322.0080,5389.0380,5301.4120,5388.4340,5327.0360,17670328320,186767921152.0000
2020-02-11,sh.000905,5390.5250,5396.9550,5323.7600,5361.2760,5388.4340,15250817792,157302894592.0000
2020-02-12,sh.000905,5345.5220,5461.6730,5340.4870,5459.9460,5361.2760,15104147200,164552224768.0000
2020-02-13,sh.000905,5456.6590,5482.7950,5397.2320,5412.8410,5459.9460,15820264192,175679827968.0000
