code,name,year,indicator,value
601857,中国石油,2020,资产负债率,45.069700000000005
601857,中国石油,2021,ROE,7.4346
601857,中国石油,2021,净利润率,4.3868
601857,中国石油,2021,资产负债率,43.6921
601857,中国石油,2022,ROE,11.344700000000001
601857,中国石油,2022,净利润率,5.0623000000000005
601857,中国石油,2022,资产负债率,42.474000000000004
601857,中国石油,2023,ROE,11.444899999999999
601857,中国石油,2023,净利润率,5.9877
601857,中国石油,2023,资产负债率,40.7631
600050,中国联通,2019,ROE,3.515
600050,中国联通,2019,净利润率,3.8773
600050,中国联通,2019,资产负债率,42.666
600050,中国联通,2020,ROE,3.7941999999999996
600050,中国联通,2020,净利润率,4.1222
600050,中国联通,2020,资产负债率,43.092200000000005
600050,中国联通,2021,ROE,4.2472
600050,中国联通,2021,净利润率,4.3971
600050,中国联通,2021,资产负债率,43.3307
600050,中国联通,2022,ROE,4.8088
600050,中国联通,2022,净利润率,4.6912
600050,中国联通,2022,资产负债率,46.1329
600050,中国联通,2023,ROE,5.212
600050,中国联通,2023,净利润率,5.022200000000001
600050,中国联通,2023,资产负债率,46.0002
