date,code,open,high,low,close,preclose,volume,amount,adjustflag
2020-01-02,sh.600050,5.9200,6.1000,5.9100,6.0400,5.8900,202281900,1219376050.0000,3
2020-01-03,sh.600050,6.0600,6.1400,6.0200,6.0400,6.0400,110901438,672556201.0000,3
2020-01-06,sh.600050,5.9800,6.0800,5.9500,6.0200,6.0400,129117991,777159850.0000,3
2020-01-07,sh.600050,6.0300,6.0400,5.9800,6.0200,6.0200,89912307,540169555.0000,3
2020-01-08,sh.600050,5.9800,5.9800,5.9000,5.9200,6.0200,137584735,816994009.0000,3
2020-01-09,sh.600050,5.9600,6.0000,5.9300,5.9500,5.9200,100308163,597794589.0000,3
2020-01-10,sh.600050,5.9500,5.9900,5.9000,5.9100,5.9500,119272171,708979905.0000,3
2020-01-13,sh.600050,5.8900,5.9200,5.8100,5.9100,5.9100,118266405,693896963.0000,3
2020-01-14,sh.600050,5.9200,6.2400,5.9200,6.1800,5.9100,443966016,2730734269.0000,3
2020-01-15,sh.600050,6.1700,6.2200,6.1000,6.1200,6.1800,182817472,1123324579.0000,3
2020-01-16,sh.600050,6.1500,6.1700,6.0000,6.0200,6.1200,164493023,996695114.0000,3
2020-01-17,sh.600050,6.0000,6.0400,5.9600,5.9700,6.0200,96215354,576172806.0000,3
2020-01-20,sh.600050,5.9800,6.0600,5.9400,6.0600,5.9700,128883052,774231132.0000,3
2020-01-21,sh.600050,6.0000,6.0000,5.9000,5.9200,6.0600,132376371,785466438.0000,3
2020-01-22,sh.600050,5.9000,5.9100,5.7800,5.8800,5.9200,121388423,708153687.0000,3
2020-01-23,sh.600050,5.8000,5.8400,5.5800,5.6500,5.8800,200335479,1141228135.0000,3
2020-02-03,sh.600050,5.0900,5.2100,5.0900,5.0900,5.6500,251211510,1280788806.0000,3
2020-02-04,sh.600050,5.0000,5.1800,5.0000,5.1800,5.0900,212680246,1092533327.0000,3
2020-02-05,sh.600050,5.1800,5.3200,5.1400,5.2100,5.1800,186797062,978844079.0000,3
2020-02-06,sh.600050,5.2500,5.3900,5.2000,5.3800,5.2100,185010279,985272975.0000,3
2020-02-07,sh.600050,5.3500,5.3700,5.2800,5.3500,5.3800,126911598,675540206.0000,3
2020-02-10,sh.600050,5.3200,5.4500,5.2900,5.4000,5.3500,150606729,808797219.0000,3
2020-02-11,sh.600050,5.4500,5.4700,5.3500,5.3800,5.4000,126512637,683041636.0000,3
2020-02-12,sh.600050,5.3600,5.4100,5.3400,5.4100,5.3800,114583596,616647075.0000,3
2020-02-13,sh.600050,5.3900,5.4100,5.3200,5.3600,5.4100,126510124,677960653.0000,3
2020-02-14,sh.600050,5.3300,5.3900,5.3300,5.3600,5.3600,91362889,489651051.0000,3
