date,code,open,high,low,close,preclose,volume,amount,adjustflag,return,is_extreme
2020-01-02,sz.002594,47.69,48.47,47.51,48.17,47.67,15934570,765516493.15,3,,False
2020-01-03,sz.002594,48.2,48.99,47.68,48.04,48.17,12993607,628361961.37,3,-0.002698775171268486,False
2020-01-06,sz.002594,47.39,49.19,47.19,48.28,48.04,16987138,822172472.98,3,0.004995836802664577,False
2020-01-07,sz.002594,48.31,48.5,47.77,48.05,48.28,9340058,449013435.67,3,-0.00476387738193873,False
2020-01-08,sz.002594,47.55,48.35,47.15,47.28,48.05,11097445,529249404.07,3,-0.01602497398543179,False
2020-01-09,sz.002594,47.75,48.2,47.38,47.65,47.28,8921700,425352462.6,3,0.00782571912013541,False
2020-01-10,sz.002594,47.66,47.66,46.61,46.92,47.65,10929463,512929719.08,3,-0.015320041972717635,False
2020-01-13,sz.002594,51.61,51.61,50.51,51.61,46.92,51882759,2662873914.8,3,0.09995737425404938,False
2020-01-14,sz.002594,55.0,55.99,53.0,53.44,51.61,61497596,3356918724.91,3,0.03545824452625457,False
2020-01-15,sz.002594,54.01,54.75,52.28,53.31,53.44,29870523,1594534514.3,3,-0.002432634730538785,False
2020-01-16,sz.002594,53.49,54.54,51.78,54.09,53.31,33573707,1778235678.36,3,0.014631401238041741,False
2020-01-17,sz.002594,53.86,59.5,53.2,57.95,54.09,53060038,3022542423.36,3,0.07136254390830099,False
2020-01-20,sz.002594,57.3,59.9,56.5,58.76,57.95,30077562,1742179866.54,3,0.013977566867989566,False
2020-01-21,sz.002594,57.72,57.73,56.55,56.72,58.76,20383657,1161444870.54,3,-0.034717494894486056,False
2020-01-22,sz.002594,56.5,60.5,56.1,59.27,56.72,32797995,1927419433.55,3,0.04495768688293378,False
2020-01-23,sz.002594,57.99,61.88,57.51,59.83,59.27,29158496,1735366427.87,3,0.00944828749789095,False
2020-02-03,sz.002594,53.85,54.48,53.85,53.85,59.83,10039800,540735185.53,3,-0.09994985793080391,False
2020-02-04,sz.002594,54.0,57.5,54.0,56.36,53.85,36777530,2057907669.3,3,0.046610956360259914,False
2020-02-05,sz.002594,57.7,62.0,56.99,60.81,56.36,44623025,2698234964.68,3,0.07895670688431511,False
2020-02-06,sz.002594,58.45,60.85,58.4,60.75,60.81,30113181,1792085752.62,3,-0.0009866798223976403,False
2020-02-07,sz.002594,60.74,60.74,56.66,57.9,60.75,32128159,1868897083.38,3,-0.04691358024691361,False
2020-02-10,sz.002594,59.2,63.36,58.85,60.93,57.9,35279646,2143782477.47,3,0.05233160621761668,False
2020-02-11,sz.002594,60.0,60.12,58.28,59.04,60.93,19617574,1162310506.24,3,-0.03101920236336786,False
2020-02-12,sz.002594,59.04,60.6,58.35,59.19,59.04,19745556,1171671704.85,3,0.0025406504065039748,False
2020-02-13,sz.002594,58.5,60.13,57.5,57.55,59.19,23694703,1387055829.59,3,-0.027707383003885755,False
2020-02-14,sz.002594,57.56,57.9,56.44,56.9,57.55,21117383,1205977325.29,3,-0.011294526498696777,False
2020-02-17,sz.002594,56.91,58.56,56.91,58.48,56.9,20988900,1215249654.91,3,0.02776801405975382,False
2020-02-18,sz.002594,57.8,60.0,57.77,59.47,58.48,22836532,1350970758.86,3,0.01692886456908349,False
2020-02-19,sz.002594,64.47,64.48,61.66,61.91,59.47,43747653,2773613068.11,3,0.04102909029762891,False
2020-02-20,sz.002594,63.17,68.1,63.11,68.1,61.91,64939094,4366081680.35,3,0.0999838475205943,False
2020-02-21,sz.002594,67.0,68.27,65.68,67.5,68.1,45518916,3046190980.67,3,-0.008810572687224627,False
2020-02-24,sz.002594,65.42,67.14,64.96,66.2,67.5,35796879,2351741646.73,3,-0.019259259259259198,False
2020-02-25,sz.002594,64.4,72.19,64.17,70.85,66.2,40743409,2786635361.11,3,0.07024169184290008,False
2020-02-26,sz.002594,69.78,75.8,69.0,71.7,70.85,52276832,3774510844.19,3,0.011997177134791981,False
2020-02-27,sz.002594,71.68,73.15,68.08,70.05,71.7,27269996,1912686987.02,3,-0.023012552301255318,False
2020-02-28,sz.002594,66.66,68.99,64.95,65.37,70.05,33825352,2251947903.34,3,-0.0668094218415417,False
2020-03-02,sz.002594,65.6,67.23,64.0,66.85,65.37,22564321,1492112197.82,3,0.022640354902860427,False
2020-03-03,sz.002594,69.8,70.2,67.46,67.87,66.85,27425292,1880749812.21,3,0.015258040388930638,False
2020-03-04,sz.002594,66.95,67.8,64.72,66.58,67.87,18093253,1198529239.81,3,-0.019006925003683617,False
