date,code,open,high,low,close,preclose,volume,amount,adjustflag,return,is_extreme
2020-01-02,sh.600050,5.92,6.1,5.91,6.04,5.89,202281900,1219376050.0,3,,False
2020-01-03,sh.600050,6.06,6.14,6.02,6.04,6.04,110901438,672556201.0,3,0.0,False
2020-01-06,sh.600050,5.98,6.08,5.95,6.02,6.04,129117991,777159850.0,3,-0.0033112582781458233,False
2020-01-07,sh.600050,6.03,6.04,5.98,6.02,6.02,89912307,540169555.0,3,0.0,False
2020-01-08,sh.600050,5.98,5.98,5.9,5.92,6.02,137584735,816994009.0,3,-0.01661129568106301,False
2020-01-09,sh.600050,5.96,6.0,5.93,5.95,5.92,100308163,597794589.0,3,0.0050675675675675436,False
2020-01-10,sh.600050,5.95,5.99,5.9,5.91,5.95,119272171,708979905.0,3,-0.006722689075630228,False
2020-01-13,sh.600050,5.89,5.92,5.81,5.91,5.91,118266405,693896963.0,3,0.0,False
2020-01-14,sh.600050,5.92,6.24,5.92,6.18,5.91,443966016,2730734269.0,3,0.045685279187817285,False
2020-01-15,sh.600050,6.17,6.22,6.1,6.12,6.18,182817472,1123324579.0,3,-0.009708737864077555,False
2020-01-16,sh.600050,6.15,6.17,6.0,6.02,6.12,164493023,996695114.0,3,-0.016339869281045805,False
2020-01-17,sh.600050,6.0,6.04,5.96,5.97,6.02,96215354,576172806.0,3,-0.00830564784053156,False
2020-01-20,sh.600050,5.98,6.06,5.94,6.06,5.97,128883052,774231132.0,3,0.015075376884422065,False
2020-01-21,sh.600050,6.0,6.0,5.9,5.92,6.06,132376371,785466438.0,3,-0.02310231023102305,False
2020-01-22,sh.600050,5.9,5.91,5.78,5.88,5.92,121388423,708153687.0,3,-0.006756756756756799,False
2020-01-23,sh.600050,5.8,5.84,5.58,5.65,5.88,200335479,1141228135.0,3,-0.03911564625850328,False
2020-02-03,sh.600050,5.09,5.21,5.09,5.09,5.65,251211510,1280788806.0,3,-0.09911504424778772,False
2020-02-04,sh.600050,5.0,5.18,5.0,5.18,5.09,212680246,1092533327.0,3,0.017681728880157177,False
2020-02-05,sh.600050,5.18,5.32,5.14,5.21,5.18,186797062,978844079.0,3,0.005791505791505891,False
2020-02-06,sh.600050,5.25,5.39,5.2,5.38,5.21,185010279,985272975.0,3,0.03262955854126681,False
2020-02-07,sh.600050,5.35,5.37,5.28,5.35,5.38,126911598,675540206.0,3,-0.005576208178438735,False
2020-02-10,sh.600050,5.32,5.45,5.29,5.4,5.35,150606729,808797219.0,3,0.009345794392523477,False
2020-02-11,sh.600050,5.45,5.47,5.35,5.38,5.4,126512637,683041636.0,3,-0.0037037037037037646,False
2020-02-12,sh.600050,5.36,5.41,5.34,5.41,5.38,114583596,616647075.0,3,0.005576208178438735,False
2020-02-13,sh.600050,5.39,5.41,5.32,5.36,5.41,126510124,677960653.0,3,-0.009242144177449174,False
2020-02-14,sh.600050,5.33,5.39,5.33,5.36,5.36,91362889,489651051.0,3,0.0,False
2020-02-17,sh.600050,5.37,5.55,5.36,5.54,5.36,198900780,1089742919.0,3,0.033582089552238736,False
2020-02-18,sh.600050,5.51,5.59,5.48,5.53,5.54,138265208,764440553.0,3,-0.0018050541516244634,False
2020-02-19,sh.600050,5.53,5.56,5.48,5.49,5.53,133709220,738552264.0,3,-0.007233273056057921,False
2020-02-20,sh.600050,5.5,5.6,5.44,5.58,5.49,184727335,1020268007.0,3,0.016393442622950838,False
2020-02-21,sh.600050,5.58,5.69,5.57,5.63,5.58,181120153,1021090650.0,3,0.008960573476702427,False
2020-02-24,sh.600050,5.65,5.95,5.65,5.9,5.63,327431744,1915853102.0,3,0.047957371225577416,False
2020-02-25,sh.600050,5.78,5.88,5.6,5.8,5.9,289971792,1671514407.0,3,-0.016949152542372947,False
2020-02-26,sh.600050,5.69,6.16,5.67,5.89,5.8,455888096,2706300907.0,3,0.01551724137931032,False
2020-02-27,sh.600050,5.93,5.96,5.73,5.75,5.89,268658736,1557339567.0,3,-0.02376910016977929,False
2020-02-28,sh.600050,5.58,5.64,5.45,5.48,5.75,265842210,1470733515.0,3,-0.04695652173913034,False
2020-03-02,sh.600050,5.53,5.75,5.5,5.7,5.48,221251589,1250511562.0,3,0.04014598540145986,False
2020-03-03,sh.600050,5.8,5.85,5.66,5.71,5.7,248205154,1429535243.0,3,0.0017543859649122862,False
2020-03-04,sh.600050,5.66,5.71,5.59,5.68,5.71,131461648,742322638.0,3,-0.005253940455341555,False
2020-03-05,sh.600050,5.81,5.94,5.77,5.83,5.68,313386496,1832545068.0,3,0.026408450704225483,False
2020-03-06,sh.600050,5.75,5.79,5.7,5.72,5.83,173944425,996607976.0,3,-0.018867924528301994,False
2020-03-09,sh.600050,5.64,5.82,5.61,5.64,5.72,225411130,1283193141.0,3,-0.013986013986013957,False
2020-03-10,sh.600050,5.58,5.78,5.51,5.77,5.64,243271240,1379008394.0,3,0.023049645390070816,False
2020-03-11,sh.600050,5.75,5.85,5.66,5.67,5.77,205452440,1181760443.0,3,-0.017331022530329254,False
2020-03-12,sh.600050,5.59,5.64,5.52,5.57,5.67,168039489,934871292.0,3,-0.017636684303350858,False
2020-03-13,sh.600050,5.33,5.57,5.3,5.48,5.57,178845270,968266936.0,3,-0.016157989228007152,False
2020-03-16,sh.600050,5.51,5.52,5.28,5.31,5.48,147534700,796081642.0,3,-0.031021897810219135,False
2020-03-17,sh.600050,5.33,5.43,5.17,5.33,5.31,139711738,739586234.0,3,0.0037664783427495685,False
2020-03-18,sh.600050,5.34,5.39,5.18,5.2,5.33,120916151,640327656.0,3,-0.024390243902439046,False
2020-03-19,sh.600050,5.16,5.24,5.05,5.19,5.2,151014781,777705623.0,3,-0.0019230769230769162,False
2020-03-20,sh.600050,5.25,5.33,5.16,5.29,5.19,168867593,885702299.0,3,0.019267822736030782,False
2020-03-23,sh.600050,5.16,5.28,5.14,5.15,5.29,105780814,548160130.0,3,-0.026465028355387443,False
2020-03-24,sh.600050,5.24,5.41,5.21,5.31,5.15,170310866,903634477.0,3,0.031067961165048397,False
2020-03-25,sh.600050,5.39,5.46,5.33,5.36,5.31,139703456,751311734.0,3,0.009416195856873921,False
2020-03-26,sh.600050,5.31,5.33,5.27,5.28,5.36,72339856,383295149.0,3,-0.014925373134328401,False
2020-03-27,sh.600050,5.34,5.36,5.26,5.26,5.28,77293297,409883620.0,3,-0.0037878787878788955,False
2020-03-30,sh.600050,5.2,5.27,5.15,5.27,5.26,91415596,475204800.0,3,0.001901140684410496,False
2020-03-31,sh.600050,5.3,5.32,5.21,5.22,5.27,59861436,314253435.0,3,-0.009487666034155517,False
2020-04-01,sh.600050,5.2,5.26,5.16,5.2,5.22,69304395,361099989.0,3,-0.003831417624520994,False
2020-04-02,sh.600050,5.17,5.26,5.16,5.25,5.2,74884234,390459243.0,3,0.009615384615384581,False
2020-04-03,sh.600050,5.24,5.31,5.21,5.26,5.25,83339952,437966446.0,3,0.0019047619047618536,False
2020-04-07,sh.600050,5.35,5.41,5.3,5.4,5.26,190011280,1018735029.0,3,0.026615969581749166,False
2020-04-08,sh.600050,5.35,5.39,5.32,5.34,5.4,126073453,675107964.0,3,-0.011111111111111183,False
2020-04-09,sh.600050,5.43,5.6,5.41,5.52,5.34,338479792,1866702938.0,3,0.033707865168539186,False
2020-04-10,sh.600050,5.49,5.5,5.36,5.38,5.52,174426914,944599966.0,3,-0.0253623188405796,False
2020-04-13,sh.600050,5.35,5.44,5.33,5.36,5.38,77394001,416025521.0,3,-0.0037174721189590088,False
2020-04-14,sh.600050,5.38,5.42,5.34,5.41,5.36,103162327,554450449.0,3,0.009328358208955168,False
2020-04-15,sh.600050,5.38,5.39,5.29,5.32,5.41,106653296,569409511.0,3,-0.01663585951940849,False
2020-04-16,sh.600050,5.27,5.32,5.27,5.29,5.32,67529140,357441265.0,3,-0.005639097744360999,False
2020-04-17,sh.600050,5.31,5.33,5.28,5.29,5.29,113594415,602621408.0,3,0.0,False
2020-04-20,sh.600050,5.3,5.33,5.27,5.32,5.29,90589200,480095736.0,3,0.005671077504725952,False
2020-04-21,sh.600050,5.3,5.3,5.25,5.28,5.32,75048558,395963178.0,3,-0.007518796992481258,False
2020-04-22,sh.600050,5.25,5.29,5.24,5.29,5.28,69928465,367778344.0,3,0.0018939393939394478,False
2020-04-23,sh.600050,5.29,5.29,5.22,5.24,5.29,69064594,362886671.0,3,-0.009451795841209809,False
2020-04-24,sh.600050,5.24,5.26,5.16,5.18,5.24,75207800,390518435.0,3,-0.011450381679389388,False
2020-04-27,sh.600050,5.17,5.21,5.15,5.18,5.18,67497600,350029689.0,3,0.0,False
2020-04-28,sh.600050,5.19,5.2,5.06,5.12,5.18,83467141,427745494.0,3,-0.01158301158301156,False
2020-04-29,sh.600050,5.12,5.15,5.1,5.14,5.12,49475214,253800234.0,3,0.00390625,False
2020-04-30,sh.600050,5.15,5.25,5.15,5.22,5.14,119345158,620477054.0,3,0.015564202334630295,False
2020-05-06,sh.600050,5.16,5.26,5.15,5.25,5.22,106236287,553747172.0,3,0.005747126436781658,False
2020-05-07,sh.600050,5.25,5.32,5.2,5.21,5.25,93240649,488697871.0,3,-0.007619047619047636,False
2020-05-08,sh.600050,5.23,5.27,5.22,5.24,5.21,70612399,370441625.0,3,0.0057581573896352545,False
2020-05-11,sh.600050,5.27,5.29,5.22,5.23,5.24,70794863,371734871.0,3,-0.001908396946564861,False
2020-05-12,sh.600050,5.23,5.24,5.16,5.2,5.23,58479221,303756707.0,3,-0.005736137667304075,False
2020-05-13,sh.600050,5.17,5.19,5.14,5.17,5.2,65810585,339656392.0,3,-0.00576923076923086,False
2020-05-14,sh.600050,5.15,5.16,5.13,5.13,5.17,59141811,303990467.0,3,-0.007736943907156735,False
2020-05-15,sh.600050,5.14,5.16,5.12,5.13,5.13,54399935,279421453.0,3,0.0,False
2020-05-18,sh.600050,5.12,5.22,5.11,5.16,5.13,85895403,443625480.0,3,0.005847953216374213,False
2020-05-19,sh.600050,5.2,5.21,5.14,5.15,5.16,63568749,328237596.0,3,-0.0019379844961240345,False
2020-05-20,sh.600050,5.16,5.16,5.11,5.12,5.15,58622327,300227376.0,3,-0.005825242718446644,False
2020-05-21,sh.600050,5.13,5.15,5.1,5.12,5.12,55449664,284070419.0,3,0.0,False
2020-05-22,sh.600050,5.1,5.11,5.03,5.06,5.12,74964897,379725144.0,3,-0.011718750000000111,False
2020-05-25,sh.600050,5.06,5.06,5.0,5.03,5.06,56514893,283937641.0,3,-0.005928853754940566,False
2020-05-26,sh.600050,5.04,5.06,4.98,5.03,5.03,99784973,499998096.0,3,0.0,False
